timestamp,AccX,AccY,AccZ
1558048925778,-0.4020000100135803,3.7249999046325684,9.088000297546387
1558048925816,-0.3160000145435333,3.7149999141693115,9.020999908447266
1558048925876,-0.4020000100135803,3.7060000896453857,9.298999786376953
1558048925942,-0.14300000667572021,3.944999933242798,9.001999855041504
1558048926077,-0.14300000667572021,3.936000108718872,9.001999855041504
1558048926140,-0.257999986410141,3.944999933242798,8.666999816894531
1558048926272,-0.257999986410141,3.878000020980835,8.857999801635742
1558048926404,-0.04699999839067459,3.993000030517578,9.020999908447266
1558048926470,0.02800000086426735,3.9839999675750732,9.059000015258789
1558048926536,-0.23899999260902405,3.8970000743865967,8.628999710083008
1558048926734,0.44999998807907104,3.878000020980835,9.625
1558048926800,-0.05700000002980232,4.453000068664551,8.541999816894531
1558048927064,0.5170000195503235,4.7779998779296875,8.762999534606934
1558048927262,-0.0860000029206276,4.461999893188477,8.666999816894531
1558048927331,-0.008999999612569809,4.625,9.194000244140625
1558048927526,0.3160000145435333,5.4679999351501465,9.088000297546387
1558048927592,0.10499999672174454,6.091000080108643,6.953000068664551
1558048927659,0.4399999976158142,5.486999988555908,7.631999969482422
1558048927790,1.1770000457763672,8.331999778747559,3.4189999103546143
1558048928054,0.7269999980926514,7.239999771118164,4.672999858856201
1558048928126,1.2350000143051147,7.355000019073486,8.513999938964844
1558048928186,0.5929999947547913,7.382999897003174,4.261000156402588
1558048928318,0.28700000047683716,6.828000068664551,7.296999931335449
1558048928450,1.3209999799728394,8.111000061035156,4.635000228881836
1558048928582,1.781000018119812,8.10200023651123,1.0820000171661377
1558048928648,2.5179998874664307,8.552000045776367,-2.115999937057495
1558048929244,2.0869998931884766,9.442999839782715,0.14300000667572021
1558048929308,1.7999999523162842,9.395000457763672,-0.28700000047683716
1558048929374,1.9049999713897705,9.42300033569336,-0.3919999897480011
1558048929440,1.7899999618530273,9.37600040435791,-0.3160000145435333
1558048929506,1.7430000305175781,9.26099967956543,0.01899999938905239
1558048929573,1.8669999837875366,9.213000297546387,-0.20999999344348907
1558048929638,2.0299999713897705,9.298999786376953,-0.0860000029206276
1558048929704,1.9049999713897705,9.395000457763672,0.2290000021457672
1558048929902,2.624000072479248,10.045999526977539,-0.9760000109672546
1558048929968,2.1740000247955322,9.845000267028809,0.1340000033378601
1558048930232,2.3359999656677246,8.972999572753906,-0.5839999914169312
1558048930298,2.3550000190734863,9.307999610900879,-0.765999972820282
1558048930364,2.499000072479248,9.911999702453613,-0.8999999761581421
1558048930430,2.259999990463257,12.4399995803833,1.656000018119812
1558048930496,0.5450000166893005,9.307999610900879,4.932000160217285
1558048930562,3.178999900817871,8.52299976348877,0.7559999823570251
1558048930698,1.034000039100647,7.928999900817871,1.5509999990463257
1558048930760,1.1100000143051147,8.64799976348877,0.9860000014305115
1558048930829,0.6890000104904175,8.878000259399414,0.7080000042915344
1558048931024,1.684999942779541,10.505999565124512,-0.8809999823570251
1558048931157,-1.7710000276565552,10.77400016784668,5.429999828338623
1558048931222,4.558000087738037,7.853000164031982,0.4020000100135803
1558048931552,2.671999931335449,8.925000190734863,-1.2730000019073486
1558048931816,4.816999912261963,7.269000053405762,-0.7080000042915344
1558048931882,0.5740000009536743,9.682000160217285,2.499000072479248
