timestamp,AccX,AccY,AccZ,CompassSensor
1558048771474,-0.4020000100135803,4.461999893188477,9.039999961853027,241.7338265211252
1558048771524,,,,241.42409110264344
1558048771543,-0.5170000195503235,4.442999839782715,8.130000114440918,
1558048771544,,,,243.88996697793647
1558048771571,,,,243.49112491154273
1558048771594,-0.20999999344348907,4.48199987411499,8.072999954223633,243.89601852554108
1558048771627,,,,243.14140556565974
1558048771660,-0.32499998807907104,4.519999980926514,8.656999588012695,241.61545934280883
1558048771692,,,,240.41927465308618
1558048771730,-0.2199999988079071,4.539000034332275,,
1558048771731,,,8.878000259399414,239.9756402061155
1558048771763,,,,239.06210240462633
1558048771795,-0.6600000262260437,4.2129998207092285,9.729999542236328,235.26070598054235
1558048771826,,,,234.54180124964182
1558048771858,-1.0149999856948853,4.203999996185303,9.826000213623047,233.84449357689687
1558048771891,,,,232.67740549303846
1558048771924,-0.2290000021457672,5.439000129699707,7.593999862670898,245.70043156085342
1558048771957,,,,243.23581244036768
1558048771990,-0.8519999980926514,7.0960001945495605,,
1558048771991,,,6.177000045776367,263.09293454640056
1558048772022,,,,259.03187482064027
1558048772056,-0.2680000066757202,7.785999774932861,6.7230000495910645,256.6419847998636
1558048772092,,,,251.91219491284568
1558048772122,-0.3540000021457672,,,
1558048772123,,8.388999938964844,5.545000076293945,262.5707460937856
1558048772157,,,,256.65664238582247
1558048772188,0.8040000200271606,9.45199966430664,4.683000087738037,255.4110344472656
1558048772222,,,,249.57462414111137
1558048772254,0.10499999672174454,8.925000190734863,3.4189999103546143,
1558048772256,,,,262.77132825914134
1558048772286,,,,254.7438274181929
1558048772320,0.8420000076293945,8.666999816894531,,
1558048772321,,,3.188999891281128,244.66076748615075
1558048772353,,,,237.2459824250766
1558048772386,0.20999999344348907,,,
1558048772387,,8.666999816894531,1.465000033378601,255.2262914905951
1558048772421,,,,245.6391715941876
1558048772452,0.6029999852180481,,,
1558048772453,,9.317999839782715,-7.8429999351501465,134.09778699377733
1558048772485,,,,130.82635860777302
1558048772518,0.4300000071525574,,,
1558048772520,,9.194000244140625,1.1009999513626099,228.36379952271693
1558048772550,,,,221.73712266921387
1558048772584,2.441999912261963,9.625,,
1558048772585,,,-0.3919999897480011,158.20387415982682
1558048772616,,,,153.68149662733467
1558048772650,1.2829999923706055,11.175999641418457,-0.5070000290870667,139.17790411351442
1558048772682,,,,135.16169824003356
1558048772716,1.090999960899353,,,
1558048772717,,10.314000129699707,-0.04699999839067459,151.40544536945464
1558048772749,,,,148.0324110893572
1558048772782,0.9959999918937683,8.781999588012695,,
1558048772785,,,-0.9760000109672546,113.07483355869329
1558048772814,,,,111.51336352196915
1558048772848,1.781000018119812,7.728000164031982,-1.406999945640564,124.26904915548062
1558048772880,,,,124.58008230990464
1558048772914,1.062999963760376,8.675999641418457,-0.257999986410141,137.43444368635528
1558048772946,,,,138.6180471676268
1558048772980,2.183000087738037,11.156999588012695,,
1558048772981,,,0.746999979019165,167.77275062096126
1558048773012,,,,169.40375881362527
1558048773048,1.225000023841858,13.723999977111816,2.7860000133514404,205.93616304330635
1558048773080,,,,206.97078643840155
1558048773112,2.2309999465942383,12.5649995803833,2.5369999408721924,192.91692090029164
1558048773144,,,,193.82667477698067
1558048773178,0.8709999918937683,8.88700008392334,2.3550000190734863,208.74908083032773
1558048773210,,,,209.46972042927746
1558048773244,1.090999960899353,9.604999542236328,,
1558048773245,,,2.078000068664551,205.1358287971209
1558048773276,,,,206.67738883241452
1558048773310,0.4399999976158142,,,
1558048773311,,7.258999824523926,2.0969998836517334,216.39811405917663
1558048773343,,,,217.80778314159727
1558048773378,0.44999998807907104,5.334000110626221,1.2450000047683716,213.79123575865788
1558048773409,,,,214.91321727323754
1558048773442,-0.4300000071525574,6.568999767303467,1.6369999647140503,240.3450168364298
1558048773474,,,,242.09075854677167
1558048773508,-0.1340000033378601,9.317999839782715,,
1558048773509,,,1.6950000524520874,239.31521555488865
1558048773540,,,,241.22197214472442
1558048773574,1.0049999952316284,,,
1558048773575,,13.130000114440918,,
1558048773576,,,1.6369999647140503,213.59716276358114
1558048773606,,,,215.58563573664696
1558048773640,0.3630000054836273,,,
1558048773641,,14.835000038146973,5.285999774932861,226.0531875076366
1558048773672,,,,228.34332261558518
1558048773706,3.0350000858306885,,,
1558048773707,,7.699999809265137,4.098999977111816,202.55788317792633
1558048773738,,,,203.7176629593729
1558048773772,1.8569999933242798,9.480999946594238,3.2750000953674316,212.12318061993568
1558048773804,,,,213.0672630273932
1558048773838,-0.3540000021457672,9.911999702453613,,
1558048773839,,,3.944999933242798,234.48605324563619
1558048773870,,,,235.49962599770942
1558048773904,-0.640999972820282,5.0279998779296875,2.0969998836517334,240.53047013277398
1558048773936,,,,241.94612246090753
1558048773970,0.8330000042915344,,,
1558048773971,,4.960000038146973,2.1540000438690186,218.36031812469457
1558048774005,,,,218.8658614063022
1558048774037,1.6080000400543213,7.767000198364258,1.2730000019073486,205.40508851458117
1558048774068,,,,205.79173186311732
1558048774102,3.562000036239624,13.71399974822998,,
1558048774104,,,2.930000066757202,204.7231760882255
1558048774135,,,,204.89944961032518
1558048774168,-0.008999999612569809,11.95199966430664,7.8429999351501465,
1558048774169,,,,222.67975707656728
1558048774201,,,,221.4983802369652
1558048774234,2.680999994277954,9.307999610900879,3.7149999141693115,209.45866918320036
1558048774267,,,,209.0522592672063
1558048774300,2.3269999027252197,9.826000213623047,2.624000072479248,209.24219316764595
1558048774335,,,,209.71794316409404
1558048774366,0.5170000195503235,4.691999912261963,1.6950000524520874,223.35518082321153
1558048774398,,,,222.89843241303447
1558048774432,0.6890000104904175,3.9260001182556152,1.1200000047683716,216.12060347319903
1558048774465,,,,215.51419195792857
1558048774498,0.14300000667572021,7.269000053405762,2.1640000343322754,234.98472535693884
1558048774530,,,,235.40879814212656
1558048774564,2.068000078201294,13.215999603271484,1.934000015258789,211.38933143513123
1558048774597,,,,211.69608889113476
1558048774634,2.1449999809265137,15.590999603271484,5.304999828338623,220.1382436864056
1558048774664,,,,219.94127469112073
1558048774696,2.872999906539917,9.480999946594238,6.138000011444092,208.58071666728694
1558048774728,,,,208.55039062737205
1558048774762,4.683000087738037,8.236000061035156,3.111999988555908,196.81740970885414
1558048774794,,,,197.4693376047535
1558048774828,0.3919999897480011,7.574999809265137,,
1558048774829,,,2.068000078201294,233.47254879545466
1558048774860,,,,234.38649640829408
1558048774894,-0.1720000058412552,3.6480000019073486,1.9249999523162842,225.5064991664688
1558048774927,,,,225.56527977446592
1558048774963,1.1490000486373901,4.270999908447266,2.010999917984009,212.0481031805789
1558048774994,,,,213.6210137841628
1558048775026,3.4189999103546143,10.782999992370605,,
1558048775027,,,2.384000062942505,205.59890196246943
1558048775058,,,,205.93048032591696
1558048775092,5.056000232696533,14.461000442504883,,
1558048775093,,,3.802000045776367,205.73427631181914
1558048775124,,,,206.837024013696
1558048775158,1.8960000276565552,,,
1558048775160,,13.628000259399414,6.894999980926514,221.07687560290537
1558048775193,,,,221.92544464500946
1558048775224,-0.11400000005960464,7.230000019073486,,
1558048775225,,,4.826000213623047,220.9777832184269
1558048775257,,,,222.4637864950115
1558048775290,2.4130001068115234,,,
1558048775291,,8.762999534606934,2.556999921798706,214.91033493340774
1558048775323,,,,216.02712550421825
1558048775356,-0.6320000290870667,5.515999794006348,2.115999937057495,248.69352973817968
1558048775388,,,,248.92454722647705
1558048775422,0.9089999794960022,,,
1558048775424,,3.4760000705718994,1.350000023841858,218.3167141970332
1558048775454,,,,218.4472527724505
1558048775488,1.5219999551773071,6.1479997634887695,1.406999945640564,
1558048775489,,,,216.03474799533194
1558048775521,,,,215.7335366529344
1558048775554,1.187000036239624,,,
1558048775555,,12.918999671936035,2.7290000915527344,238.09811682592738
1558048775586,,,,238.11034286454174
1558048775621,1.6369999647140503,15.677000045776367,5.545000076293945,232.61693099812715
1558048775652,,,,232.8479962977487
1558048775686,1.503000020980835,11.836999893188477,,
1558048775688,,,5.745999813079834,226.5292516927865
1558048775718,,,,227.2031318166783
1558048775752,4.932000160217285,7.671000003814697,,
1558048775753,,,4.2129998207092285,205.00242154225225
1558048775785,,,,204.87272991029204
1558048775818,1.6469999551773071,,,
1558048775819,,8.140000343322754,2.739000082015991,223.4124314688346
1558048775851,,,,223.82227013979207
1558048775884,-0.06700000166893005,4.769000053405762,,
1558048775885,,,2.0299999713897705,240.24991328242652
1558048775919,,,,241.60496817224373
1558048775952,0.5360000133514404,3.74399995803833,1.1490000486373901,231.62634866280018
1558048775985,,,,232.95893223024802
1558048776016,1.7139999866485596,6.980999946594238,2.308000087738037,222.15743885035812
1558048776048,,,,222.99395943876624
1558048776082,4.491000175476074,13.446000099182129,3.2939999103546143,
1558048776083,,,,213.28771421304452
1558048776114,,,,213.7634368887359
1558048776148,3.121999979019165,15.121999740600586,,
1558048776149,,,5.007999897003174,227.08236041177418
1558048776180,,,,227.77589782009727
1558048776217,0.2290000021457672,9.711000442504883,7.642000198364258,221.55459269383448
1558048776249,,,,221.46077321539514
1558048776282,1.5219999551773071,6.817999839782715,4.242000102996826,221.56578054369493
1558048776312,,,,221.69343677928248
1558048776346,0.9190000295639038,8.053999900817871,1.9249999523162842,241.12723742093635
1558048776378,,,,240.4460353342543
1558048776412,1.1970000267028809,5.085000038146973,2.2980000972747803,223.96661935771112
1558048776444,,,,223.18009575402743
1558048776478,0.37299999594688416,,,
1558048776479,,5.401000022888184,2.068000078201294,238.98415628581813
1558048776510,,,,238.1944088328462
1558048776548,0.4779999852180481,9.213000297546387,2.9110000133514404,245.15203567239308
1558048776578,,,,244.18489454629764
1558048776610,2.9489998817443848,,,
1558048776611,,13.062999725341797,4.078999996185303,223.60134084089884
1558048776642,,,,223.53995110063875
1558048776676,0.5170000195503235,14.163999557495117,8.64799976348877,
1558048776677,,,,225.94854900955204
1558048776708,,,,225.94988772662936
1558048776742,3.9639999866485596,7.105999946594238,,
1558048776744,,,4.051000118255615,208.47084624429806
1558048776774,,,,208.3537904623024
1558048776808,1.5800000429153442,8.043999671936035,,
1558048776809,,,3.7820000648498535,223.76697292827157
1558048776841,,,,224.25725756727343
1558048776876,0.4779999852180481,,,
1558048776877,,5.813000202178955,3.4760000705718994,225.2717319043171
1558048776906,,,,225.1178477423167
1558048776940,0.746999979019165,,,
1558048776941,,4.28000020980835,1.8860000371932983,226.66162075890134
1558048776972,,,,227.24008314008807
1558048777007,1.1490000486373901,5.775000095367432,2.7669999599456787,224.57337238243997
1558048777038,,,,224.8049704368168
1558048777072,3.246000051498413,11.616999626159668,4.367000102996826,220.92345589376862
1558048777104,,,,221.51627533259068
1558048777138,4.107999801635742,13.963000297546387,5.142000198364258,220.4621039360909
1558048777174,,,,221.23215312349646
1558048777208,0.41100001335144043,9.652999877929688,9.194000244140625,214.5609297762266
1558048777236,,,,214.67690638833346
1558048777270,2.9590001106262207,8.312000274658203,4.261000156402588,217.1611281517371
1558048777302,,,,217.27041117845727
1558048777336,2.010999917984009,7.421999931335449,2.98799991607666,222.64348877207453
1558048777370,,,,222.55006544460713
1558048777402,0.5360000133514404,4.672999858856201,1.9630000591278076,233.96208211364785
1558048777434,,,,234.07980725418219
1558048777468,-0.5170000195503235,4.442999839782715,2.4030001163482666,234.21822786790165
1558048777503,,,,234.897312595941
1558048777535,0.9480000138282776,8.628999710083008,3.1500000953674316,237.95192345693243
1558048777566,,,,238.20707200356742
1558048777600,2.546999931335449,12.699000358581543,5.6020002365112305,227.52635002858165
1558048777632,,,,227.62970445110227
1558048777666,1.406999945640564,12.670000076293945,7.488999843597412,226.95168523257348
1558048777698,,,,226.48280640643043
1558048777732,3.303999900817871,6.991000175476074,7.039000034332275,
1558048777733,,,,211.26521323753371
1558048777765,,,,211.04599148593297
1558048777798,3.8399999141693115,,,
1558048777800,,7.5269999504089355,4.710999965667725,212.19454243638398
1558048777833,,,,212.95556211370683
1558048777870,1.7430000305175781,8.552000045776367,3.802000045776367,228.18428849095062
1558048777898,,,,229.6844165987389
1558048777930,1.378999948501587,5.381999969482422,2.7290000915527344,224.90471851945563
1558048777962,,,,226.4810168968679
1558048777996,1.7039999961853027,5.669000148773193,2.624000072479248,224.71057722248725
1558048778028,,,,225.54708415051698
1558048778062,2.0969998836517334,8.293000221252441,3.8499999046325684,228.4715662474414
1558048778094,,,,229.7446588672184
1558048778128,3.74399995803833,10.946000099182129,5.315000057220459,224.1668668437975
1558048778164,,,,225.3722722888997
1558048778195,2.4700000286102295,13.071999549865723,8.8100004196167,227.2254801956426
1558048778226,,,,228.05894085930254
1558048778260,0.7749999761581421,5.985000133514404,7.2210001945495605,214.86558353396583
1558048778293,,,,216.09331003727561
1558048778326,2.4230000972747803,,,
1558048778328,,8.217000007629395,3.6480000019073486,230.3083407190412
1558048778360,,,,230.65077908326896
1558048778392,1.090999960899353,6.5980000495910645,3.5239999294281006,236.74020691703714
1558048778425,,,,236.63679785300315
1558048778460,0.3919999897480011,5.285999774932861,3.619999885559082,
1558048778461,,,,232.77455810379274
1558048778496,,,,232.35659150772295
1558048778524,1.5700000524520874,6.7129998207092285,2.805999994277954,235.02297441629088
1558048778556,,,,234.15517156148405
1558048778590,2.0490000247955322,10.744999885559082,,
1558048778592,,,3.4760000705718994,239.8046395900551
1558048778622,,,,238.90271311015488
1558048778656,2.5179998874664307,12.324999809265137,5.688000202178955,234.68539914675216
1558048778688,,,,233.4732591351284
1558048778722,2.7290000915527344,10.256999969482422,7.307000160217285,224.00568803976353
1558048778754,,,,223.89002561635857
