timestamp,AccX,AccY,AccZ,CompassSensor
1558049774664,,,,285.0564801622763
1558049774728,-0.42100000381469727,,,
1558049774729,,3.936000108718872,8.734000205993652,285.4497214735506
1558049774772,-0.3540000021457672,4.059999942779541,8.791000366210938,285.978876719119
1558049774783,,,,286.06940404637834
1558049774852,-0.3440000116825104,,,
1558049774853,,4.021999835968018,8.848999977111816,285.5623034816399
1558049774913,-0.2680000066757202,4.031000137329102,8.83899974822998,285.6212958255013
1558049774917,,,,285.65080224271577
1558049774967,-0.1720000058412552,,,
1558049774968,,4.070000171661377,8.560999870300293,286.3667768224624
1558049774981,,,,286.3182756491661
1558049775033,-0.20100000500679016,3.9070000648498535,8.446999549865723,285.72228017237995
1558049775046,,,,286.48370966105296
1558049775099,-0.3540000021457672,,,
1558049775100,,3.628999948501587,8.704999923706055,284.38991517098555
1558049775114,,,,284.61795469680476
1558049775166,-0.5170000195503235,,,
1558049775167,,3.188999891281128,9.154999732971191,280.50036149528427
1558049775179,,,,281.6763971269554
1558049775231,-0.9190000295639038,3.0450000762939453,8.972999572753906,282.53626330194663
1558049775245,,,,283.7684635791628
1558049775297,-0.9570000171661377,2.4700000286102295,9.729999542236328,276.69613054269473
1558049775310,,,,278.3704762856425
1558049775363,-0.7179999947547913,2.499000072479248,9.317999839782715,279.0031225575149
1558049775377,,,,280.3002574431704
1558049775430,0.0,3.0160000324249268,8.560999870300293,283.7641810505532
1558049775447,,,,285.37827769483226
1558049775495,0.4300000071525574,,,
1558049775496,,3.390000104904175,9.692000389099121,283.6347148148356
1558049775509,,,,284.6353375282425
1558049775561,0.32499998807907104,,,
1558049775563,,3.878000020980835,8.513999938964844,290.65226973416014
1558049775575,,,,291.01763704343165
1558049775627,1.090999960899353,,,
1558049775629,,4.453000068664551,9.826000213623047,287.7122967681982
1558049775641,,,,287.3416633830766
1558049775693,0.5360000133514404,,,
1558049775694,,4.999000072479248,7.9770002365112305,296.83122768756886
1558049775707,,,,296.11681039095305
1558049775760,1.2829999923706055,5.229000091552734,8.829999923706055,290.7496750619137
1558049775773,,,,289.0017613514157
1558049775825,0.6600000262260437,6.196000099182129,8.024999618530273,298.87267560783727
1558049775842,,,,296.8017349307327
1558049775891,1.3980000019073486,,,
1558049775893,,6.0329999923706055,8.043999671936035,290.9793743237012
1558049775905,,,,288.02833645128385
1558049775957,0.5839999914169312,,,
1558049775958,,7.296999931335449,7.258999824523926,301.06534391632977
1558049775971,,,,297.3309584781928
1558049776023,0.8330000042915344,,,
1558049776024,,6.90500020980835,6.310999870300293,296.36578444657835
1558049776037,,,,291.9286066937929
1558049776090,-0.5839999914169312,,,
1558049776091,,7.34499979019165,5.056000232696533,315.60660492342265
1558049776102,,,,310.9260265493747
1558049776155,0.28700000047683716,,,
1558049776157,,7.728000164031982,5.880000114440918,297.0322743057882
1558049776177,,,,290.81202102865757
1558049776221,1.781000018119812,,2.010999917984009,
1558049776222,,8.418000221252441,,269.078079051921
1558049776235,,,,264.01086415952614
1558049776287,-0.29600000381469727,,,
1558049776288,,9.87399959564209,-18.952999114990234,144.0993012973187
1558049776301,,,,145.11377563436236
1558049776353,-1.0720000267028809,,,
1558049776355,,8.96399974822998,1.934000015258789,338.4086860335117
1558049776367,,,,332.65962701665273
1558049776419,1.5800000429153442,,,
1558049776422,,8.581000328063965,-2.3269999027252197,167.79038616939823
1558049776433,,,,164.87433252590967
1558049776485,0.8230000138282776,,-0.04699999839067459,
1558049776486,,8.532999992370605,,209.968952616092
1558049776500,,,,206.35923862087532
1558049776551,1.2059999704360962,,,
1558049776552,,9.173999786376953,-0.4779999852180481,189.40172306280954
1558049776564,,,,186.9424451502548
1558049776617,1.4839999675750732,10.534000396728516,-0.2770000100135803,196.29014642568586
1558049776632,,,,194.4311601789051
1558049776683,1.8380000591278076,12.152999877929688,-1.1579999923706055,176.41743418550124
1558049776697,,,,175.57912408753057
1558049776752,0.20999999344348907,11.520999908447266,2.8440001010894775,270.81724329009216
1558049776768,,,,270.6812678840956
1558049776815,1.49399995803833,,,
1558049776816,,7.767000198364258,2.930000066757202,239.64235429537558
1558049776832,,,,239.86497748118296
1558049776881,2.2790000438690186,9.682000160217285,-0.29600000381469727,194.4856787488602
1558049776895,,,,194.53783407336232
