min-tAccX,min-tAccY,min-tAccZ,max-tAccX,max-tAccY,max-tAccZ,mean-tAccX,mean-tAccY,mean-tAccZ,std-tAccX,std-tAccY,std-tAccZ,Label
-3.390000104904175,0.7179999947547913,-14.29800033569336,6.4070000648498535,8.96399974822998,9.020999908447266,0.7618378362039456,5.106547267855825,-2.1497365115462124,2.699982346749035,2.9144645724385616,7.450634197367685,6
-2.0969998836517334,-1.6660000085830688,-12.019000053405762,4.165999889373778,3.687000036239624,-6.750999927520753,0.7748066651324431,0.5092933409661055,-9.652183373769125,1.5581949605111325,1.4022372665195173,1.2690671447649475,6
-0.6029999852180481,-0.20999999344348907,-10.218000411987305,1.02400004863739,0.6320000290870667,-9.336999893188477,0.22484000522643327,0.152540003284812,-9.786316706339518,0.35900472694983254,0.1873052476080902,0.17025015122797338,6
0.07599999755620956,-1.3400000333786009,-10.418999671936037,1.4359999895095823,0.8040000200271606,-8.848999977111816,0.6856133364637693,0.0730066671098272,-9.736993350982665,0.34008671277146657,0.578578015256683,0.3114430930014985,6
0.5839999914169312,0.3630000054836273,-10.151000022888184,1.0149999856948853,1.2350000143051147,-9.30799961090088,0.8169066655635834,0.7256666652361552,-9.728120034535726,0.10297542546369311,0.16863915701872267,0.14545298084120475,6
0.7369999885559082,0.6990000009536743,-9.826000213623047,1.034000039100647,0.8809999823570251,-9.480999946594238,0.8779800033569336,0.8077533376216889,-9.730500055948893,0.056928702358418605,0.03503359960432483,0.06891337262106673,6
0.746999979019165,0.7269999980926514,-9.940999984741213,0.8899999856948853,0.8519999980926514,-9.57699966430664,0.8344066719214122,0.7903400039672852,-9.73355344136556,0.027003960681671952,0.024078439565662146,0.06371874156666779,6
0.8230000138282776,0.7179999947547913,-9.883000373840332,1.062999963760376,0.8519999980926514,-9.56700038909912,0.9357066726684571,0.7915600085258484,-9.70588009516398,0.05967410305855005,0.024890826784574497,0.054906424059794894,6
0.8040000200271606,0.7559999823570251,-9.826000213623047,0.9959999918937684,0.8899999856948853,-9.538000106811523,0.8939133332835303,0.8034466687838236,-9.740620053609213,0.057878502987501815,0.02967274030125778,0.057617942244264954,6
0.8040000200271606,0.7269999980926514,-9.826000213623047,1.02400004863739,0.8709999918937683,-9.644000053405762,0.883013339969847,0.7893733326594035,-9.736406669616699,0.057592045913403084,0.03126568984866543,0.042464210600614664,6
0.8330000042915344,0.746999979019165,-9.845000267028807,0.9860000014305116,0.8899999856948853,-9.56700038909912,0.8990866676966349,0.8040266732374827,-9.73002669652303,0.04014567881348679,0.02831912370485522,0.05413622243082651,6
0.9190000295639038,0.746999979019165,-9.807000160217283,1.090999960899353,0.8899999856948853,-9.480999946594238,1.0246333320935568,0.8193933395544688,-9.706246655782063,0.03880019165262168,0.033851245841273886,0.0611785502015313,6
0.8230000138282776,0.746999979019165,-9.911999702453613,1.02400004863739,0.8709999918937683,-9.510000228881836,0.9456733385721843,0.7969666707515717,-9.725226783752442,0.045375520612498194,0.031044670458567528,0.055328834574463165,6
0.8330000042915344,0.7179999947547913,-9.826000213623047,0.9480000138282776,0.8420000076293945,-9.614999771118164,0.880879993836085,0.7869666679700216,-9.742153333028158,0.02615821923675473,0.02766690618991532,0.040472595656036114,6
0.8759999871253967,0.7559999823570251,-9.79699993133545,1.10099995136261,0.8809999823570251,-9.595999717712402,0.9770933349927267,0.8204200037320455,-9.72021998723348,0.06194502628646574,0.02743858131532647,0.04903362380767246,6
0.8040000200271606,0.765999972820282,-9.826000213623047,1.0429999828338623,0.8899999856948853,-9.538000106811523,0.9355599983533224,0.8224000080426535,-9.727086715698242,0.05828296715527462,0.0303397036996857,0.04982902988346888,6
0.8899999856948853,0.746999979019165,-9.826000213623047,1.1100000143051147,0.8899999856948853,-9.54800033569336,0.9778266727924347,0.8066133379936218,-9.714513467152914,0.05732070130649454,0.03126540439079378,0.05728621602984155,6
0.8519999980926514,0.7269999980926514,-9.87399959564209,1.0149999856948853,0.8709999918937683,-9.595999717712402,0.9165199979146321,0.8152266764640808,-9.729253330230712,0.03644741332363684,0.02770239452129282,0.05857910234653553,6
0.9480000138282776,0.6990000009536743,-9.845000267028807,1.1390000581741333,0.8899999856948853,-9.43299961090088,1.0488733299573263,0.7948733365535736,-9.690360056559244,0.04548615069137403,0.03878845079885218,0.06663647903774553,6
0.8709999918937683,0.7559999823570251,-9.892999649047852,1.034000039100647,0.9190000295639038,-9.625,0.947253338098526,0.8092733458677928,-9.73017333984375,0.0530410678885572,0.02779188595149218,0.04576212782567786,6
0.8519999980926514,0.7269999980926514,-9.883000373840332,1.0820000171661377,0.8519999980926514,-9.538000106811523,0.9714000034332275,0.7988800064722696,-9.735773429870605,0.05898923530568634,0.02394737909613186,0.07449163571194596,6
0.8040000200271606,0.7179999947547913,-9.845000267028807,0.9570000171661376,0.8610000014305115,-9.595999717712402,0.8927533376216888,0.7745200006167093,-9.73182009379069,0.02931956676649437,0.032069148068456704,0.040032509895372916,6
0.8420000076293945,0.7080000042915344,-9.892999649047852,1.0529999732971191,0.8330000042915344,-9.595999717712402,0.9413666725158691,0.7715066619714102,-9.729813340504965,0.05734293433786693,0.03356305464413226,0.05277406789881553,6
0.8420000076293945,0.746999979019165,-9.826000213623047,1.090999960899353,0.8809999823570251,-9.595999717712402,0.9774533387025197,0.7954711098141141,-9.696991214752197,0.062201502833357444,0.02489496697661359,0.044118750987466246,6
