timestamp,AccX,AccY,AccZ,CompassSensor
1558048657782,-0.41100001335144043,4.758999824523926,8.217000007629395,233.98740845509025
1558048657802,,,,235.2575914142808
1558048657834,0.0,4.932000160217285,8.59000015258789,235.1711622005235
1558048657865,,,,235.31332575790816
1558048657905,-0.0949999988079071,5.09499979019165,8.39900016784668,236.51244742897393
1558048657936,,,,236.56161113061967
1558048657960,-0.32499998807907104,4.951000213623047,8.991999626159668,234.3974247109661
1558048657997,,,,234.92497486207952
1558048658026,-0.44999998807907104,4.864999771118164,8.513999938964844,235.66700661350973
1558048658063,,,,235.63808759256392
1558048658092,-0.4399999976158142,4.89300012588501,8.217000007629395,236.58185581131954
1558048658129,,,,235.86636617500403
1558048658158,-0.10499999672174454,5.448999881744385,9.050000190734863,236.16506400778707
1558048658195,,,,234.8764258774591
1558048658224,-0.03799999877810478,5.888999938964844,8.388999938964844,238.48474651408515
1558048658261,,,,236.07360777480062
1558048658290,0.28700000047683716,6.866000175476074,,
1558048658292,,,6.415999889373779,247.35739447236347
1558048658327,,,,243.96449800215964
1558048658356,1.7999999523162842,8.675999641418457,5.074999809265137,246.41873523510696
1558048658396,,,,242.51336967147705
1558048658422,-3.1600000858306885,9.395000457763672,1.312000036239624,11.995619621351523
1558048658459,,,,3.416918885845007
1558048658488,0.6600000262260437,8.484999656677246,5.171000003814697,244.73770273696175
1558048658525,,,,238.59207610670273
1558048658554,2.98799991607666,8.03499984741211,,
1558048658556,,,4.730999946594238,223.4259825641479
1558048658591,,,,217.44912990827987
1558048658620,2.7290000915527344,8.571000099182129,2.3269999027252197,213.25307149357423
1558048658657,,,,206.03220916341502
1558048659188,-0.1809999942779541,9.86400032043457,-10.984000205993652,141.373468422215
1558048659214,1.9049999713897705,9.480999946594238,-0.1720000058412552,151.6602114254961
1558048659251,,,,153.10314352917467
1558048659280,2.365000009536743,10.803000450134277,-0.01899999938905239,157.1990303895129
1558048659317,,,,158.907137757528
1558048659346,2.010999917984009,14.269000053405762,,
1558048659347,,,2.2119998931884766,195.81132284411126
1558048659383,,,,197.3388809916063
1558048659414,2.068000078201294,11.980999946594238,3.9170000553131104,204.83805987006508
1558048659449,,,,206.3400594496859
1558048659478,1.253999948501587,8.59000015258789,2.9010000228881836,209.34765128843094
1558048659515,,,,210.88836438026743
1558048659544,0.8420000076293945,10.840999603271484,,
1558048659546,,,1.5410000085830688,213.2792037973387
1558048659581,,,,215.72206193512875
1558048659610,0.5450000166893005,7.066999912261963,1.7039999961853027,220.56100507527265
1558048659647,,,,222.5340145000576
1558048659676,0.15299999713897705,5.315000057220459,1.4550000429153442,230.38217506396904
1558048659713,,,,231.98252936763805
1558048659744,0.6990000009536743,6.310999870300293,0.6029999852180481,203.03667943874427
1558048659779,,,,204.12071242229536
1558048659808,-0.15299999713897705,10.256999969482422,1.225000023841858,255.0418832131939
1558048659845,,,,256.54811751010016
1558048659874,0.4020000100135803,12.555000305175781,0.4300000071525574,214.64185385751296
1558048659911,,,,216.54275014504083
1558048659940,1.0049999952316284,13.743000030517578,1.656000018119812,222.47664091102945
1558048659977,,,,223.42137901664728
1558048660006,0.8420000076293945,11.732000350952148,,
1558048660007,,,4.328000068664551,228.3944397513336
1558048660042,,,,228.61161244618336
1558048660072,3.390000104904175,7.660999774932861,1.0049999952316284,186.58719335114404
1558048660109,,,,186.8178078582804
1558048660138,0.746999979019165,9.164999961853027,,
1558048660139,,,2.1540000438690186,228.60618927598233
1558048660175,,,,229.2578576246932
1558048660204,0.2290000021457672,7.210999965667725,1.5509999990463257,239.6643748252597
1558048660241,,,,240.48276809161064
1558048660270,1.4459999799728394,5.401000022888184,,
1558048660271,,,0.7749999761581421,197.24032136188293
1558048660309,,,,198.51174741550244
1558048660336,1.531999945640564,7.047999858856201,,
1558048660338,,,1.4359999895095825,209.03843496432614
1558048660373,,,,209.75463494031533
1558048660402,2.499000072479248,11.588000297546387,1.8380000591278076,205.74980816199172
1558048660439,,,,206.44880972165083
1558048660468,1.090999960899353,14.604999542236328,5.2769999504089355,231.36501196477718
